                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.9008,                 1.2482,                 0.9431,                0.64868,                0.48317,                0.53397,                0.18622,                 2.2099,                 1.2458,                0.94306,               0.001604,               0.001604,               0.001604
                     23,                   1.92,                 1.2952,                0.95466,                0.65558,                0.51287,                0.54336,                0.20483,                 2.0831,                 1.2938,                0.92991,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.8876,                 1.2531,                0.95196,                0.67846,                0.50975,                0.55234,                0.23999,                 1.8532,                 1.2834,                0.93657,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.8812,                 1.2341,                 0.9464,                0.62864,                0.48941,                0.51275,                0.20626,                 1.9189,                 1.2975,                0.93651,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.9239,                  1.275,                0.93672,                0.68754,                0.49673,                0.57277,                0.24303,                 1.9132,                  1.211,                0.92658,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.8739,                  1.233,                0.92869,                0.66638,                0.48255,                0.50219,                0.20417,                 1.9491,                 1.2758,                0.92966,               0.001505,               0.001505,               0.001505
                     28,                 1.8658,                 1.2573,                0.94863,                0.62851,                0.48911,                 0.5239,                0.19718,                 2.1068,                 1.2414,                0.94829,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.8959,                 1.2273,                 0.9442,                0.61558,                0.48515,                0.50307,                0.19055,                  2.023,                 1.2245,                0.93689,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.8315,                 1.1855,                0.93187,                0.60831,                0.52079,                0.52687,                0.19366,                 2.1423,                 1.2829,                0.93694,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.8926,                  1.218,                0.95062,                0.66606,                0.47525,                0.53251,                0.20396,                 2.0082,                 1.2099,                0.91999,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.8417,                 1.1777,                0.93904,                0.63452,                0.51683,                 0.5517,                0.22086,                 1.9187,                 1.2072,                 0.9316,               0.001406,               0.001406,               0.001406
                     33,                 1.8782,                 1.2147,                0.92802,                0.62242,                0.47525,                 0.4947,                0.20022,                 2.0589,                 1.2858,                0.94754,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.8242,                 1.1874,                0.92182,                0.66108,                0.52871,                0.56254,                 0.2508,                 1.8681,                 1.2567,                0.92617,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.8159,                 1.1738,                0.91192,                 0.7427,                0.50495,                0.59104,                0.26958,                 1.8052,                 1.1772,                0.91287,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.7888,                 1.1278,                0.93249,                0.63398,                0.53267,                0.53849,                0.20495,                 1.9436,                 1.2525,                 0.9273,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.8138,                 1.1767,                0.92538,                0.67706,                0.53555,                0.58486,                0.25421,                  1.865,                 1.1702,                0.92315,               0.001307,               0.001307,               0.001307
                     38,                 1.7844,                  1.151,                0.93257,                0.63675,                0.51287,                0.56435,                0.23186,                   1.89,                 1.1824,                0.92233,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.7425,                 1.1358,                0.91921,                0.66062,                0.53578,                0.55862,                0.22338,                 1.9598,                 1.2695,                0.92799,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.7767,                 1.1594,                0.92064,                0.62967,                0.47921,                0.52404,                0.18784,                 2.1389,                 1.2481,                0.93954,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.7857,                 1.1324,                0.92254,                0.72307,                0.51705,                0.58996,                0.25631,                 1.8443,                 1.1451,                0.91457,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.7639,                  1.134,                0.93307,                0.71326,                0.54653,                0.61826,                 0.2631,                 1.7763,                 1.1586,                0.92038,               0.001208,               0.001208,               0.001208
                     43,                 1.7507,                 1.1001,                0.91587,                0.67781,                0.52673,                0.57943,                0.24999,                 1.8658,                 1.1106,                0.92037,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.7857,                 1.1142,                0.91498,                0.66517,                0.50297,                0.54104,                0.20952,                 1.9385,                 1.1714,                0.91352,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.7193,                 1.1087,                0.90661,                0.73845,                0.44752,                 0.5371,                0.20373,                 2.0552,                 1.2262,                0.92461,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.6976,                 1.0863,                0.92419,                0.67649,                0.50495,                0.56727,                0.23205,                 1.9359,                 1.1576,                0.91914,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.7528,                 1.1144,                0.92118,                0.61181,                0.52475,                0.53379,                0.20877,                 2.0141,                 1.1917,                 0.9214,               0.001109,               0.001109,               0.001109
                     48,                 1.7316,                 1.0998,                0.91345,                0.70248,                0.53267,                0.58924,                0.23973,                 1.8339,                 1.1544,                0.91874,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.7122,                 1.1085,                0.91243,                0.67043,                0.53861,                0.57777,                0.25058,                 1.8236,                 1.1692,                 0.9214,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.7383,                 1.0898,                0.91007,                0.62737,                0.50342,                0.54911,                0.22674,                 1.9252,                 1.2223,                0.92867,              0.0010496,              0.0010496,              0.0010496
                     51,                  1.712,                 1.0956,                0.90962,                 0.6633,                0.54455,                0.58613,                0.23116,                 1.9835,                 1.2026,                0.92784,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.7247,                 1.0814,                0.91627,                0.62414,                0.54455,                0.57598,                0.23821,                 1.8724,                  1.166,                 0.9012,                0.00101,                0.00101,                0.00101
                     53,                 1.7145,                 1.1001,                0.90694,                0.68724,                0.58416,                0.62445,                0.28807,                 1.8208,                  1.105,                0.90946,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.7114,                 1.0568,                0.89616,                0.64334,                0.51683,                0.54318,                0.23124,                 1.8734,                 1.1567,                0.92672,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.6835,                 1.0569,                0.90006,                0.72914,                0.53069,                0.60411,                0.25305,                 1.8661,                 1.1399,                0.91746,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.6753,                 1.0972,                0.90131,                 0.6774,                0.54059,                 0.5994,                0.26411,                   1.83,                 1.1431,                0.89513,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.7153,                 1.0708,                0.90817,                0.70994,                0.53069,                0.58677,                0.23871,                 1.8836,                 1.1252,                0.90295,               0.000911,               0.000911,               0.000911
                     58,                 1.6738,                 1.0593,                0.90568,                0.72879,                0.54809,                0.61333,                 0.2599,                 1.7888,                 1.1084,                0.90228,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.6237,                 1.0342,                0.90857,                0.64407,                 0.5604,                0.59872,                0.26139,                 1.7755,                 1.0843,                0.89361,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.6729,                 1.0482,                0.90435,                0.70789,                0.54706,                0.61593,                0.24282,                 1.9197,                 1.1486,                0.90421,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.5906,                0.99508,                0.88532,                0.69764,                0.54455,                0.59795,                0.25273,                 1.8072,                 1.1203,                0.90256,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.6398,                 1.0093,                0.89205,                0.69271,                0.54653,                0.60259,                0.25358,                 1.9085,                 1.1425,                0.90656,               0.000812,               0.000812,               0.000812
                     63,                 1.6162,                0.99029,                0.89436,                0.68861,                0.55177,                0.60763,                0.26405,                 1.7994,                 1.1259,                0.89124,              0.0007922,              0.0007922,              0.0007922
                     64,                  1.669,                 1.0378,                0.90001,                0.66761,                 0.5604,                0.58528,                0.24558,                 1.8237,                 1.1354,                 0.8985,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.6218,                0.99335,                0.89869,                0.69682,                0.58812,                0.62597,                0.27871,                 1.7861,                 1.0587,                0.90054,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.6221,                0.99186,                0.89744,                0.71005,                0.53341,                0.59397,                0.24416,                 1.8452,                 1.1003,                 0.8995,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.6151,                0.99539,                0.89308,                0.73118,                0.53861,                0.60009,                0.26687,                 1.7213,                 1.0663,                0.89417,               0.000713,               0.000713,               0.000713
                     68,                 1.5977,                0.97795,                 0.8946,                0.72302,                0.55446,                 0.6257,                0.27334,                 1.7921,                 1.1133,                0.90728,              0.0006932,              0.0006932,              0.0006932
                     69,                    1.6,                0.97292,                0.90474,                  0.698,                0.48713,                 0.5466,                0.20239,                 2.0307,                 1.1492,                0.91071,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.5977,                0.98901,                0.89413,                0.72789,                0.56148,                 0.6325,                0.28587,                 1.7236,                 1.0571,                0.89371,              0.0006536,              0.0006536,              0.0006536
                     71,                  1.594,                0.98794,                0.89244,                0.66744,                0.57822,                0.60851,                0.25545,                  1.857,                 1.1114,                0.89942,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.6052,                 1.0063,                0.89997,                0.68619,                0.56723,                0.62799,                0.28381,                 1.7734,                 1.0943,                0.90189,               0.000614,               0.000614,               0.000614
                     73,                 1.5774,                0.98023,                0.88808,                0.69163,                0.53267,                0.59605,                0.26708,                 1.7748,                 1.0943,                0.90525,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.5748,                0.94883,                0.89908,                0.65986,                0.54934,                0.59588,                0.26068,                 1.8261,                 1.1053,                0.90831,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.5745,                 0.9541,                0.89142,                0.64909,                0.56634,                0.59637,                0.25457,                 1.8806,                 1.0758,                0.90695,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.6201,                0.97785,                0.88371,                0.69745,                0.56832,                 0.6189,                0.26827,                 1.8107,                 1.0846,                0.89841,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.5482,                0.94421,                0.87893,                0.72003,                0.56634,                 0.6261,                0.28886,                 1.7266,                 1.0809,                0.89593,               0.000515,               0.000515,               0.000515
                     78,                 1.5247,                0.92591,                0.88919,                0.70411,                0.55248,                0.62614,                0.28949,                  1.765,                 1.0674,                0.89836,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.5406,                0.92942,                0.88673,                 0.6851,                0.59022,                0.62522,                0.28606,                 1.7406,                 1.1056,                0.90601,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.5199,                0.92414,                0.88062,                0.68935,                0.56634,                0.61719,                0.27133,                 1.8142,                 1.0853,                 0.9021,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.5445,                0.93456,                0.88795,                0.67881,                0.56238,                0.60625,                0.27647,                 1.8022,                 1.0847,                0.90495,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.5309,                0.92268,                0.88825,                0.70466,                0.56696,                0.62365,                0.27394,                 1.8123,                 1.0288,                0.90469,               0.000416,               0.000416,               0.000416
                     83,                  1.527,                0.92969,                0.89175,                0.67392,                0.58113,                0.63086,                0.29628,                  1.735,                 1.0152,                0.89243,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.5499,                0.92674,                0.87747,                0.70829,                 0.5505,                0.60781,                0.26612,                 1.7892,                 1.0564,                0.89157,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.5206,                 0.9115,                0.86907,                0.71168,                0.56436,                0.63453,                0.29962,                 1.6948,                 1.0196,                0.89448,              0.0003566,              0.0003566,              0.0003566
                     86,                   1.52,                0.92023,                0.88493,                 0.6929,                0.58975,                0.63613,                0.29744,                 1.7013,                 1.0186,                0.89078,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.4835,                0.90586,                0.87439,                0.72836,                0.56634,                0.62699,                  0.267,                 1.8379,                 1.0751,                0.89756,               0.000317,               0.000317,               0.000317
                     88,                 1.4634,                0.87851,                0.88176,                0.71335,                 0.5703,                0.63059,                0.28699,                   1.76,                 1.0273,                0.89474,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.4594,                0.88443,                0.87167,                0.73388,                0.55153,                0.62114,                0.27954,                 1.7497,                 1.0561,                0.89451,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.5024,                0.88683,                0.88205,                0.70075,                0.56832,                0.63229,                0.28571,                 1.7389,                 1.0304,                0.89322,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.5114,                0.91343,                0.88606,                 0.7237,                0.59129,                0.65942,                0.33205,                  1.596,                 1.0103,                0.89165,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.4375,                 0.8573,                0.88656,                0.68455,                0.61019,                0.65622,                0.32712,                 1.5837,                 1.0053,                0.88974,               0.000218,               0.000218,               0.000218
                     93,                 1.4136,                0.86587,                0.88664,                 0.7148,                0.57572,                0.64654,                0.32866,                 1.5638,                 1.0018,                0.88626,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.4113,                0.83625,                0.87546,                  0.719,                0.58812,                0.66005,                0.33883,                 1.5569,                0.98623,                0.88172,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.3813,                0.83778,                0.86545,                 0.6874,                0.62772,                0.66685,                0.33783,                 1.5653,                0.96462,                0.88151,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.3997,                 0.8438,                0.88099,                0.68581,                0.61808,                0.67449,                0.34015,                 1.5834,                0.98241,                0.88622,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.3963,                0.84691,                 0.8774,                0.70907,                 0.6198,                 0.6776,                0.34231,                 1.5679,                0.95465,                0.88409,               0.000119,               0.000119,               0.000119
                     98,                 1.3557,                0.80879,                 0.8638,                0.72434,                    0.6,                 0.6738,                0.34063,                 1.5586,                 0.9619,                0.88615,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.3949,                0.81096,                0.87375,                 0.7265,                0.59964,                0.67469,                0.34161,                 1.5541,                0.94385,                0.88558,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.3809,                0.80833,                0.87512,                0.72963,                    0.6,                0.67733,                0.34403,                 1.5492,                0.94629,                0.88343,               5.96e-05,               5.96e-05,               5.96e-05
