                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6769,                 5.8584,                 1.1221,                0.09909,                0.15644,                0.04981,                0.01442,                 2.4206,                 5.1791,                 1.0037,               0.000657,               0.000657,               0.000657
                      2,                 2.4345,                 3.3947,                 1.0452,                0.16437,                0.13465,                0.05825,                0.01853,                 2.4994,                 3.8277,                 1.0389,              0.0013106,              0.0013106,              0.0013106
                      3,                 2.4202,                 2.7089,                 1.0421,                0.47218,                0.35248,                0.33505,                0.13271,                 2.2462,                 2.3287,                 1.0118,              0.0019509,              0.0019509,              0.0019509
                      4,                 2.3556,                 2.1911,                 1.0356,                0.45435,                0.37624,                 0.3307,                0.11115,                 2.3211,                  1.974,                 1.0231,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.3346,                 1.8861,                 1.0122,                0.44052,                0.30495,                0.28521,                0.08503,                 2.5082,                 2.1791,                 1.0205,              0.0019406,              0.0019406,              0.0019406
                      6,                  2.231,                 1.7492,                0.99948,                0.58956,                 0.4198,                0.41857,                0.15554,                 2.2034,                 1.6797,                0.98221,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.2149,                  1.736,                  1.002,                0.54978,                0.39208,                0.38564,                0.15527,                  2.129,                 1.6583,                0.99362,               0.001901,               0.001901,               0.001901
                      8,                 2.1916,                 1.5586,                0.98723,                0.44018,                0.35248,                0.32288,                0.12707,                 2.2959,                 1.6448,                0.98778,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.1632,                 1.5463,                 0.9976,                0.57839,                0.41386,                0.46058,                0.17079,                 2.2128,                 1.4835,                0.98799,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.0983,                 1.4977,                0.98112,                0.56632,                0.43762,                0.44804,                0.17968,                 2.0915,                 1.4724,                0.96795,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.1097,                 1.4611,                0.96888,                0.51524,                0.46724,                0.44834,                0.17099,                 2.1238,                 1.4005,                0.97816,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.0463,                 1.4561,                0.97114,                0.63462,                0.46139,                0.49726,                0.19898,                 2.0516,                 1.4522,                0.97314,               0.001802,               0.001802,               0.001802
                     13,                 2.0575,                 1.4181,                0.96192,                0.55598,                 0.4297,                0.44931,                0.17007,                 2.1567,                  1.429,                0.98756,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.0166,                 1.3764,                 0.9599,                0.56763,                0.45743,                0.42907,                0.14676,                 2.2029,                 1.3924,                0.95798,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.0262,                 1.4099,                0.96265,                0.50959,                0.43828,                0.41355,                0.16865,                 2.1377,                 1.5944,                0.96412,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.9913,                 1.3439,                0.94446,                0.57782,                0.46535,                0.48295,                0.17633,                 2.1772,                   1.36,                0.95055,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.9598,                  1.333,                0.94816,                0.60669,                0.47956,                0.52101,                0.21173,                 1.9939,                  1.304,                0.95142,               0.001703,               0.001703,               0.001703
                     18,                 1.9783,                 1.3487,                0.96384,                0.61651,                0.44158,                0.47444,                0.19313,                 2.0463,                 1.3445,                 0.9549,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.9618,                 1.3328,                0.96002,                0.57415,                0.46733,                0.47571,                0.17614,                 2.1382,                 1.3601,                0.94656,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.9719,                 1.3007,                0.96334,                0.60623,                0.45347,                0.47259,                 0.1646,                  2.234,                 1.3839,                0.97422,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.9826,                 1.3003,                0.94963,                0.57849,                0.45347,                 0.4646,                0.17393,                 2.0642,                 1.3734,                 0.9428,              0.0016238,              0.0016238,              0.0016238
