                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6769,                 5.8584,                 1.1221,                0.09909,                0.15644,                0.04981,                0.01442,                 2.4206,                 5.1791,                 1.0037,               0.000657,               0.000657,               0.000657
                      2,                 2.2881,                 3.3194,                 1.0185,                 0.3841,                0.22178,                0.18963,                0.06693,                 2.4853,                 3.4591,                 1.0525,             0.00088686,             0.00088686,             0.00088686
                      3,                 2.2167,                  2.858,                 0.9985,                0.53967,                0.41091,                 0.3764,                0.14567,                 2.1586,                 2.4241,                0.96438,             0.00067671,             0.00067671,             0.00067671
