                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5669,                0.96249,                0.91144,                0.72442,                0.51881,                0.61242,                0.30063,                 1.6935,                 1.0654,                0.92165,              0.0013466,              0.0013466,              0.0013466
                     36,                  1.577,                0.96367,                0.91761,                0.68335,                0.54653,                0.60537,                 0.2965,                 1.6934,                 1.0583,                0.91386,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.5559,                0.92635,                0.90302,                 0.7259,                0.51917,                0.58746,                 0.2734,                 1.7562,                 1.1374,                0.91641,               0.001307,               0.001307,               0.001307
                     38,                 1.5646,                0.95211,                0.90057,                0.63596,                 0.5604,                0.62437,                0.30346,                 1.7072,                 1.0861,                0.91034,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.5429,                0.93761,                0.90566,                0.68942,                0.58812,                0.63804,                0.29931,                 1.7203,                 1.0731,                0.90428,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.5664,                0.95535,                0.90659,                0.65409,                 0.5703,                0.61111,                 0.3014,                 1.6645,                 1.0672,                0.90703,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.5443,                0.94518,                0.90723,                0.68099,                0.57822,                 0.6293,                0.29137,                 1.7226,                 1.1413,                0.91474,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.5156,                0.93464,                0.90363,                0.60777,                0.56766,                0.57107,                0.27271,                 1.7125,                 1.1206,                0.91335,               0.001208,               0.001208,               0.001208
                     43,                 1.5358,                0.93036,                0.89421,                0.76618,                0.53209,                0.64588,                0.30432,                 1.6875,                 1.0489,                0.91562,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.5441,                0.90941,                0.90577,                0.69442,                0.54257,                0.62501,                0.29452,                 1.6877,                 1.0562,                0.91021,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.5182,                0.92423,                0.89725,                0.69848,                 0.5802,                0.63806,                0.30728,                 1.6845,                 1.0103,                 0.9109,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.5228,                0.91685,                0.89175,                0.69746,                0.55842,                  0.634,                 0.3063,                 1.6931,                 1.0706,                0.92117,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.4928,                0.90239,                0.89791,                 0.6659,                0.59604,                0.63597,                0.30617,                 1.6853,                 1.0416,                0.91324,               0.001109,               0.001109,               0.001109
                     48,                 1.5008,                0.88134,                0.88999,                0.74961,                 0.5604,                0.65566,                0.31674,                 1.6686,                 1.0594,                0.90506,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.5142,                0.90307,                0.88401,                 0.6777,                0.56634,                0.60362,                0.29007,                  1.663,                 1.0695,                0.89817,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.4999,                 0.8903,                 0.8984,                0.73857,                0.55644,                0.63069,                0.30746,                 1.6725,                 1.0451,                0.90408,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.4895,                0.89571,                0.89418,                0.70269,                0.59604,                0.64392,                0.29789,                 1.6879,                 1.0111,                0.90524,              0.0010298,              0.0010298,              0.0010298
